,Tweets
212,Dr Arif Alvi is President of the State of Pakistan & he has exercised his powers under the Constitution to remind PM of his duties citing relevant articles of Constitution. Even more imp as Head of State he shd be concerned abt HR abuses being perpetrated on his citizens.
213,"اللہ تجھے اپنی حفظ و امان میں رکھے  
@MashwaniAzhar
 تم نوجوانوں کے دلوں کی آواز ہو اس آزادی کے ابھرتے ہوئے سورج کی روشنی ہو!
#حقیقی_آزادی_جلسہ #نظام_بدلو_حالات_بدلو #ReleaseAzharMashwani #اظہر_مشوانی_کو_رہا_کرو"
214,"There is a stubbornness about me that never can bear to be frightened at the will of others. My courage always rises at every attempt to intimidate me.""
― Jane Austen, Pride and Prejudice"
215,"#BehindYouPTISMT - for you've never bowed to intimidation. You lead narrative building for the beleaguered nation, inspire millions and spread awareness all round. Your brilliance has rattled the fascist Government and I'm certain you'll emerge triumphant from this challenge too."
216,"نکلیں اظہر مشوانی، حسان نیازی اور لاکھوں نوجوانوں کی امیدوں کو قائم رکھنے کے لیے
نکلیں اپنے آج اور مستقبل کے لیے
نکلیں پاکستان کے لیے 
آج بعد از نماز تراویح، مینار پاکستان لاہور! 
 #حقیقی_آزادی_جلسہ 
#Release_Azhar_Mashwani"
217,"آج سے ٹھیک ایک سال پہلے عمران خان نے قوم کو اگاہ کیا تھا کہ سازش ہو رہی ہے 
#حقیقی_آزادی_جلسہ"
218,Gonna tell my kids Pakistan resolution day was 25 March.
219,عوام کے جنون کے آگے ہر رکاوٹ ناکام رہی، ان شاء اللہ مینار پاکستان پر آج نئی تاریخ رقم ہوگی۔  #حقیقی_آزادی_جلسہ
220,"""میں جب اپنے اللہ کے پاس جاؤں گا تو میں صرف ایک چیز سننا چاہتا ہوں کہ میرا اللہ مجھے یہ کہے کہ شاباش عمران تم نے ہمارے نبی صلی اللہ علیہ وسلم کی امت کو لا الہ الا اللہ کا مطلب سمجھا دیا"" عمران خان 

Via 
@ItzAhmedkhalfan
 
#حقیقی_آزادی_جلسہ"
221,"چئیرمین کے زیر استعمال سکواڈ میں موجود بلٹ پروف گاڑی کو بھی پولیس نے توڑ دیا. آج تو کارکنان بھی نہیں تھے تو پولیس کی جانب سے اس بربریت کا کیا مقصد ہے؟
#PakistanUnderFascism"
222,"Thank You Everyone For Ur Support...

ہم کھڑے تھے،
ہم کھڑے ہیں،
ہم کھڑے رہیں گے۔
انشاءاللہ
Special Tanx 
@PTIofficial
  @IrfanSaleemPTI
 @ShahFarman_PTI
  @Jhagra
  #ILF #PakistanUnderFascism"
223,"Azhar Mashwani abducted today. Absolutely despicable behavior of this current government. All this just because he stood with PM 
@ImranKhanPTI
 . #ReleaseAzharMashwani"
224,"Another raid at Social Media Team member's house in Karachi. 
@UbaidIntellect1
 wasn't home, they took his brother! We hope sanity prevails, we are patriots who want the country to succeed under honest leadership, please stop this madness! #PakistanUnderFascism"
225,"Political tensions in Pakistan should not lead to police brutality, custodial abuse or violence. All stakeholders should respect the principles of non-violence and democratic principles, and work together toward a peaceful future for the Pakistani people."
226,"نہ کبھی لیڈر نے قوم کو مایوس کیا
اور نہ کبھی قوم نے لیڈر کو تنہا کیا
 #جلسہ_نہیں_ریفرینڈم_ہے"
227,"ایڈوکیٹ عمار ستی،  کا عمران خان کے دس نکاتی ایجنڈا پر اپنے خیالات کا اظہار اور کارکنان کو قانونی مدد کی یقین دہانی۔

#Zaban_E_Khalq 
#PTISpaceSession"
228,"British citizen Shahid Hussain alongside key party figures and thousands of Pakistani citizens have been abducted in Pakistan. We must continue to raise our voices for them and their safe return. 
#ReleaseShahidHussain"
229,"مرا قلم نہیں کردار اس محافظ کا 
جو اپنے شہر کو محصور کر کے ناز کرے 
مرا قلم نہیں کاسہ کسی سبک سر کا 
جو غاصبوں کو قصیدوں سے سرفراز کرے 

مرا قلم نہیں اوزار اس نقب زن کا 
جو اپنے گھر کی ہی چھت میں شگاف ڈالتا ہے 
مرا قلم نہیں اس دزد نیم شب کا رفیق 
جو بے چراغ گھروں پر کمند اچھالتا… Show more"
230,حسان نیازی اور اظہر مشوانی نوجوان ہیں جنہوں نے ہمیشہ پاکستان کو پہلی ترجیح دی ہے۔یہ خاندانوں کے غلام ابن غلام بننے کو تیار نہیں۔پاکستان میں ڈاکو راج کو ماننے کو تیار نہیں انکی شخصی آزادی کو ختم کردیا گیا ہے لیکن مافیہ ان کی آزاد سوچ کو غلام نہیں بناسکے گی انکو فوری رہا کیا جائے۔
231,تحریک انصاف کے گوجرانوالہ ڈویژن کے صدر کے گھر پر چھاپہ۔ یاد رہے کہ یہ سب کچھ ایک نگران حکومت کے وقت میں پو رہا ہے جس کو آئین کے تحت غیر جانبدار ہونا تھا۔ خیر۔۔یہ وقت بھی گزر جائے گا۔
232,"These angeles maybe the youngest terror suspects according to our Interior Minister Rana Sanaullah, so maybe  we should check to see if men in plain clothes raided their house as well!
#Fascist_PDM"
233,"Chief Justice of Pakistan,
We understand that PDM is going to use all its power to avoid Supremacy of Constitution that you are striving to uphold. They've attacked #SupremeCourt before but Pakistan has changed now. Nation supports you & knows how to defend SC! #NationSupportsCJP"
234,تم گرفتاریاں کر لو ، ظلم کر لو ، خوف پھیلانے کی کوشش کر لو لیکن پھر بھی جب کپتان نکلتا ہے  تو پاکستان ساتھ نکلتا ہے #حقیقی_آزادی_جلسہ
235,"I have been saying since weeks that a plan with ulterior motives is underway against CJP Bandial by PDM’s fascist regime,it’s handlers & a few more after they’ve failed to manage him as he won’t allow them to violate the constitution

 must stand with the CJP #NationSupportsCJP"
236,"لاہوریوں اگر آج تم سب نکل آئے تو آخری سانسیں لیتا ہوا یہ ظلم کا نظام آج ہی اپنی موت آپ مر جائے گا
#حقیقی_آزادی_جلسہ"
237,"اس جذبے ہو شکست دینا چاہتے ہو۔۔۔؟؟؟

سلام ہے ان بچوں کے والدین کو جو اس فاشسٹ حکومت کی فسطانیت اور تمام رکاوٹوں کو عبور کر کہاپنے لخت جگروں کے ہمراہ  #حقیقی_آزادی_جلسہ میں اپنے محبوب کو سنے کے لئے پوھنچے۔"
238,زمان پارک حملے کے دوران گرفتار کئے جانے والے کارکنان کی رہائی کے بعد زمان پارک آمد!
239,#حقیقی_آزادی_جلسہ
240,"Dear Pakistan, there is a protest planned at Press Club Lahore at 3PM on Sunday, 26th March, against the abduction of 
@MashwaniAzhar
 . Please participate in huge number. #ReleaseAzharMashwani #حقیقی_آزادی_جلسہ"
241,Azhar is NOT your guy. He’s not running any campaign against any institution or person. He is a social media activist and a political worker just like millions of others. No one is funding this campaign against army. Please wake up. Clean your house. Still not late. Save Pakistan
242,"اگر دیکھنا ہے کہ قوم کیسے عہد وفا نبھا رہی ہے تو ایک چکر زمان پارک کا لگا کر دیکھ لیں،
#ZamanPark 
 #حقیقی_آزادی_جلسہ"
243,"آج غازی عمران خان عدالتی احکامات کی تکمیل کے لئیے اسلام آباد گئے،واپسی لاہورپہنچے توروزہ کُھلنے والاتھا دعاکےبعد کھجوروں اورپانی سےروزہ افطارکیا 

حکومتی غنڈےسادہ لباس میں تھے،اُنھوں کارکنان پرتشددکیااور بیس کےلگ بھگ گرفتار کئیے
ظُلم کی کالی رات ابھی جاری ہے!

#NationSupportsCJP"
244,"پاکستان کی 65% آبادی نوجوانوں پر مشتمل ہے۔
وہ دیکھ رہی ہے کہ آپ آج کی نوجوان نسل کے ساتھ کیا کر رہے ہیں۔
جس طرح سے حسان نیازی، اظہر مشوانی اور دیگر نوجوانوں کو اٹھایا گیا، یہ نوجوان سب دیکھ رہے ہیں۔
ان حرکتوں سے آپ اتنی بڑی آبادی کو ڈرا تو نہیں سکتے، البتہ نفرتیں سمیٹ سکتے ہیں۔… Show more"
245,پہلے عوام کو اس حال تک پہنچایا کہ وہ دو روٹیوں کو ترس رہے ہیں اور اب لائنوں میں لگا کر  رمضان میں عوام کی اس طرح تزلیل کر رہے ہیں ان فاشسٹ حکمرانوں کیلئے صرف بد دعائیں ہیں
246,Here plain clothed men detain PTI supporters who were outside the Islamabad high court. Must emphasise I did not witness any aggressive behaviour from PTI supporters and there was hardly any chanting. We also witnessed PTI supporters beaten
247,اج تو راستے بند تھے، پشتون بھی نہیں آۓ اج کسے گالیاں دیں گے
248,کون کہہ رہا تھا کہ اسٹیبلشمنٹ نہ چاہے تو جلسہ کامیاب نہیں ہوگا!!
249,"Better than scripted! 

We are living in the era of Imran Khan, how fortunate can we get. They did everything they could to stop this Jalsa and to crush our spirits, but we responded with a powerful knockout punch to the fascists. Game over PDM! 

Brilliant montage by 
@markhor_22"
250,گل ودھ گئ اے۔
251,"پورا نظام ہمیشہ حق اور سچ کے خلاف ہوتا ہے عمران خان صاحب تبدیل شعور سے لائیں گے لیڈر عوام کو شعور دیتا ہے اور عمران خان نے قوم کو وہ شعور دیاہے 
#پاکستان_کی_ضرورت_عمران"
252,"آج امپورٹڈ حکومت کے فاشزم کے خلاف چادر اور چاردیواری کے تقدس کو پامال کرنے کے خلاف ناجائز اسیری کے خلاف 
@MashwaniAzhar
 ہو یا 
@HniaziISF
 ہو 
@SHABAZGIL
 ہو یا 
@AzamKhanSwatiPk
 کے اغوا بالجبر کے خلاف دیکھو اے جابر حکمرانوں یہ تمام بندشیں توڑ کے آپہنچیں ھیں

#حقیقی_آزادی_جلسہ"
253,"پچھلے رمضان میں کیے وعدہ کی تجدید کا وقت آگیا ہے!

VC:
@Fizaalam_93
 

 #حقیقی_آزادی_جلسہ"
254,"Cherry Blossom was being convicted on the day he took oath, he was accused of 12 hundred Billion, he couldn't produce single evidence of earning this amount, an illegal PM is trying to cover up his political sins, and teaching the president of Pakistan the Constitution!"
255,"On one side is the nation. On the other is the Sicilian mafia, it's handlers and their shameless touts.
#NationSupportsCJP"
256,"“I want to ask a question to the establishment of Pakistan: it’s clear that there’s a cross on me, you won’t let come me into power.. but do you even have a plan to save Pakistan?”-
@ImranKhanPTI
 #حقیقی_آزادی_جلسہ"
257,"Media talk by 
@fawadchaudhry
 outside Supreme Court of Pakistan:"
258,"مصطفی حقیقی آزادی جلسے میں لوگوں سے 
@MashwaniAzhar
کی محبت کا آنکھوں دیکھا حال 
@MahnoorAzhar_
 کو سناتے ہوئے۔

#Zaban_E_Khalq 
#PTISpaceSession"
259,"2021 کی اس تصویر میں اظہر مشوانی اور صدیق جان کھڑے ہیں جبکہ پیچھے ارشد شریف۔
یہ وہ لوگ ہیں جو پاکستان کی ترقی خوشحالی اور اسکے مثبت امیج کے لیے بےلوث کام کرتے تھے۔

1 کو شہید کر دیا گیا
اور 2 کو اغواء کیا گیا
یہ ریاست حسین حقانی جیسوں کی مستحق ہے۔

 #ReleaseAzharMashwani"
260,"آج کا جلسہ پاکستان کے مستقبل کی سمت کا تعین کرے گا، ان شاء اللہ قوم ثابت کرے گی کہ وہ این آر او زدہ چوروں کے ٹولے کو کبھی قبول نہیں کرے گی۔ 
 #حقیقی_آزادی_جلسہ"
261,"لاہور آج پھر تیار ہے تاریخ رقم کرنے کو! 
ان شاء اللہ عوامی ریفرنڈم ثابت کرے گا کہ قوم عمران خان کے نظریے کیساتھ کھڑی ہے۔ 
 #حقیقی_آزادی_جلسہ"
262,"جب قوم کا شعور بیدار ہو جائے تو ان کے جنون کو رکاوٹوں سے نہیں روکا جا سکتا۔

شکریہ لاہور۔ 

 #جلسہ_نہیں_ریفرینڈم_ہے"
263,مینار پاکستان کے مناظر
264,"چھاپے، گرفتاریاں، رکاوٹیں۔۔ لیکن لاہور کی باشعور اور غیور عوام کے جم غفیر نے اس امپورٹڈ حکومت کے تمام تر اوچھے ہتھکنڈوں کو ناکام بناتے ہوئے مینار پاکستان میں اپنا فیصلہ سنایا۔
Vc: 
@_NiMrA_BaiG_
#StatesmanSpeech"
265,"رات کے اس پہر جب 
@UdarOfficial
 کے گھر میں صرف خواتین موجود تھیں پولیس نے ایسے دھاوا بولا جیسے کسی دہشت گرد کو گرفتار کرنا ہو"
266,"ہمارے سارے مسائل ہی اس لیے پیدا ہوتے ہیں کہ طاقتور حلقہ اپنے آپ کو قانون کے نہیچے نہیں سمجھتا جبکہ ترقی یافتہ ممالک میں سب لوگ قانون کے نیچے ہوتے ہیں۔
#حقیقی_آزادی_جلسہ"
267,"On Pakistan Day, Azhar Mashwani has been deprived of his basic human rights in his own Pakistan. Almost 12h since his abduction, and no authority has confirmed arrest or disclosed his whereabouts. Enough is enough! #ReleaseAzharMashwani"
268,لاہور ۔۔۔
269,"مینار پاکستان کی تاریخ سے کون واقف نہیں، فرق صرف اتنا ہے کہ پہلے قوم کو ایک ملک کی ضرورت تھی آج ملک کو ایک مضبوط قوم کی ضرورت ہے،قومیں ہر روز نہیں بنتیں، قربانیاں دینی پڑتی ہیں، صفوں میں اتحاد پیدا کرنا پڑتا ہے جب ہی مضبوط قومیں پروان چڑھتی ہیں۔
#حقیقی_آزادی_جلسہ"
270,شکریہ لاہور  #حقیقی_آزادی_جلسہ
271,"Lahore will make history tomorrow and will break all previous records.
#حقیقی_آزادی_جلسہ"
272,"آج کے جلسے میں جسطرح عوام نے شرکت کی یہ ایک #جلسہ_نہیں_ریفرینڈم_ہے اس امپورٹڈ حکومت کے خلاف۔
پاکستانی قوم جسطرح تمام رکاوٹیں توڑ کر جلسہ گاہ تک پہنچی یہ اس بات کا ثبوت ہے کہ عوام نے بند کمروں کے فیصلوں کو مسترد کردیا ہے۔اب فیصلے عوامی عدالت میں ہوں گے عوام کی مرضی سے"
273,"آج ہمیں باہر نکلنا ہے اپنے گھروں سے۔
صرف اپنے لیے نہیں بلکہ اظہر مشوانی کے لیے
ہر اس انسان کے لیے جو حقیقی آزادی کی یہ جنگ لڑتے ہوئے آج قید ہے،گمشدہ ہے۔
آج  وقت آگیا ہے انکا قرض اتارنے کا
#حقیقی_آزادی_جلسہ 
#ReleaseAzharMashwani"
274,"Despite cabal of crooks locking down Lahore (see map) & arresting 2000 of our workers, people of Lahore came in huge numbers to make our 6th Minar-i-Pakistan jalsa a great success. I want to especially thank my Lahorites for not letting me down yet again. Proud of you."
275,عمران خان کمرہ عدالت کی طرف روانہ۔
276,Unbelievable fascism!!! Dr. Rubina Vice President women wing South Punjab arrested from her hospital Razia Sultana Multan  #حقیقی_آزادی_جلسہ   #آئین_پاکستان_سے_غداری_نامنظور
277,کوئی پوچھے تو کہنا خان آیا تھا 
278,عمران خان اسلام آباد پہنچ گئے
279,پاکستان تحریکِ انصاف کے سوشل میڈیا ھیڈ بلوچستان ماجد خان تاجک کو ڈبل روڈ کوئٹہ پر واقع ان کے گھر سے غیر قانونی طور پر اٹھا لیا گیا ہے قریبی سریاب روڈ تھانہ سے رابط کیا گیا تو وہ اس چھاپے سے لاعلم ہیں، اس وقت ملک فسطائیت کی آخری حدیں پار کر رہا ہے۔ #PakistanUnderFascism
280,"They are coming after Social Media Team now. After 
@MashwaniAzhar
, they've picked up more with their phones & laptops. They will do all that work to find out how patriotic each & every member is. They won't find what they are looking for cuz it was never there! #PakistanZindabad"
281,"مرا قلم نہیں اوزار اس نقب زن کا 
جو اپنے گھر کی ہی چھت میں شگاف ڈالتا ہے

#ReleaseHassaanNiazi #ReleaseAzharMashwani"
282,مسلہ کہاں پر ہے؟مسلہ صرف اتنا ہے عمران خان کا خوف- الیکشن نہیں جیت سکتے الیکشن ہوئے تو عمران خان دو تہائی اکثریت سے آئے گا۔کاشف عباسی
283,"Over 740 unarmed PTI workers have been arrested from ICT, Lahore & across Punjab. These are poor ppl, many daily wage earners. Cabal of crooks has no respect for sanctity of Holy month of Ramazan when ppl want to have security to fast & pray. Demand immed release of our workers."
284,"@Makkimaviya
 : Former Lead SMT Bahawalpur: arrested
@NoumanGeePK
 : Official Photographer of IK: arrested"
285,"میں تقریباً اتنا ہی عمر کا تھا :) جب عمران خان کے ساتھ سفر کا آغاز کیا - مگر اتنا ٹیلنٹڈ نہیں تھا- ماشاءاللہ اس بچے نے دل جیت لیے- لیڈر ہیں آپ - آپ نے تو میری جگہ لے لی- بہت بہت اعلٰی

#حقیقی_آزادی_جلسہ"
286,"اہلیان لاہور کا شکریہ ! روزے ، بارش اور کٹھ پتلی نگران حکومت کے تمام تر جبر کے باوجود مینار پاکستان پر تاریخی جلسہ کر کہ آپ نے اس دھرتی کا قرض ادا کیا۔وہ دن دور نہیں جب سامراج کی ان زنجیروں سے پوری قوم آزاد ہو جائے گی

#حقیقی_آزادی_جلسہ #StatesmanSpeech"
287,Public’s view from the Minar E Pakistan Jalsa! #جلسہ_نہیں_ریفرینڈم_ہے
288,"It is appalling to see 
@pmln_org
 and 
@MaryamNSharif
 relentlessly attacking and showing contempt towards the Chief Justice of Pakistan. This is an attack on the judiciary & the rule of law, and it must be condemned. The nation stands with the CJP U. A Bandial.

#NationSupportsCJP"
289,This is sheer terrorisation of PTI's social media teams under the wrongful assumption that our SMT will out of fear ditch PTI & IK.  Will not happen. Our brave & passionate SMT will continue to carry forward our narrative. #BehindYouPTISMT
290,"Freedom is a pillar of democracy, and it's something every American holds near and dear to our hearts. When countries like Pakistan, Iran, & Venezuela abuse and decimate those basic principles, we cannot stand by in silence. We must support those who seek freedom and peace."
291,"Dear residents of Lahore & nearby towns, you have seen the fascism and violation of constitution, it's time to rise up & be counted. Pakistanis across the globe are counting on you to show strength at Minar e Pakistan tomorrow at 9pm; let's defeat the fascists! #حقیقی_آزادی_جلسہ"
292,Maybe you like former Pakistani PM Imran Khan or maybe you don't.  But the resolve and courage he displays in the face of such gangsters and thugs in power is refreshing to see.
293,"تاریخ ساز آزادی جلسہ، ان شاء اللہ کل بعد از نماز تراویح مینار پاکستان لاہور! 

 #حقیقی_آزادی_جلسہ"
294,"چیئرمین پی ٹی آئی عمران خان کی آج لاہور ہائیکورٹ میں پیشی کے مناظر۔
VC: 
@_NiMrA_BaiG_
#حقیقی_آزادی_جلسہ"
295,"Independent spectator/ correspondent vouches for peacefulness of PTI supporters and reported the aggression by the police & unknown persons in civil dresses today in Islamabad: 
 #PakistanUnderFascism"
296,If anyone needs any proof that PTI workers have been peaceful throughout this whole movement and force has always been used by the authorities to suppress them for just expressing their support for Imran Khan. The world must see how the state is using force against its own people… Show more
297,حکومت کو علم ہوگیا ہے الیکشن ہوں گے تو ہار جائیں گے- ہر سروے بتا رہا ہے پی ڈی ایم الیکشن ہار رہی ہے۔حبیب اکرم #حقیقی_آزادی_جلسہ
298,"This is the time to stand with the under-attack Supreme Court of Pakistan by the fascist criminals and their handlers.
Let’s all get together and lend our support and strengthen the Supreme Court and Chief Justice of Pakistan.
 #NationSupportsCJP"
299,رانا ثنا کہتا ہے یا عمران خان نہیں یا ہم نہیں، آپ کوئی بدمعاش ہیں؟ آپ سیاست کر رہے ہیں یا کوئی گینگ چلا رہے ہیں؟ سپریم کورٹ نے صحیح کہا تھا کہ یہ سسلین مافیا ہیں :- فواد چوہدری کا راناثناءاللہ کی دھمکی پہ زبردست ردعمل
300,قوم میں بیدار شعور کے جن کو اب کوئی قید نہیں کرسکتا۔ #حقیقی_آزادی_جلسہ
301,Can’t get over the success Khan is going to have after this massive turnout from Lahoris! InshAllah #حقیقی_آزادی_جلسہ
302,"جو فسطائیت کا مظاہرہ پاکستان میں آج ہو رہا ہے وہ کشمیریوں اور فلسطینیوں کیساتھ ہوتا ہے۔ امریکی فوج دہشت گردوں کے ساتھ ایسا سلوک اپنے ملک سے باہر گوانتانا مو جیل میں کرتے ہیں۔
#PakistanUnderFascism | #HaqeeqiAzadi"
303,صدر مملکت ڈاکٹر عارف علوی کا شہباز شریف کے نام خط:
304,"جوانوں کو  پیروں کا استاد کر ۔ زمانے کے انداز بدلے گئے!
#حقیقی_آزادی_جلسہ"
305,"Another unjust arrest of PTI activist. #PakistanUnderFascism - Hoping 
@drrubinaakhtar7
 is released soon!"
306,عمران خان پاکستانیوں کی ضد بن چکا ہے
307,"گھٹیا دشمن
#facist_pdm
ڈاکٹر روبینہ vp وومن ونگ جنوبی پنجاب کو ان کے ہسپتال رضیہ سلطانہ ملتان سے گرفتار کرلیا گیا"
308,"پولیس 
@ICT_Police
 نےکوٹلی ستیاں کےایک یتیم بچےاسامہ واجب ستّی کوجوکھنّہ پلُ کےعلاقے میں سبزی کی ریڑھی لگاتاتھاکوبھی سیاسی کیس میں گرفتارکرکے 3MPO کےتحت2 مہینے کیلئےجیل بھیج دیاہے۔ 

رمضان میں اس معصوم کےخاندان کی بدعائیں 
@CMShehbaz
 اور اسکےخاندان کیلئے۔ یوم حساب قریب ہے انشاءاللہ"
309,Tonight will be our 6th jalsa at Minar i  Pakistan & my heart tells me it will break all records.I am inviting everyone in Lahore to attend after Tarawih prayers.I will give my vision of Haqeeqi Azadi & how we will pull Pak out of the mess cabal of crooks have put our country in.
310,"i steer clear from political discussions but 
@MashwaniAzhar
’s abduction hits home. i was harassed by someone and he put my case forward to authorities. for what its worth, he bridged the gap between ordinary & powerful. whether you ideologically align or not, this is monstrosity."
311,Nauman and others members who were detained today by police and attacked by man with uniform! #ReleaseNaumanGee
312,"Press conference at Lahore Press club by PTI leadership, during the protest regarding abduction of 
@MashwaniAzhar
 . #ReleaseAzharMashwani"
313,"LIVE NOW- PTI’s HISTORIC JALSA AT MINAR E PAKISTAN! #حقیقی_آزادی_جلسہ 

LINK:"
314,"From security to economy, from economy to welfare programs, from welfare to tourism,infrastructure,agriculture & up lifting the poor class of the country that was truly a #StatesmanSpeech"
315,"The latest according to ARY news, 2 deaths and 45 injured in an atta stampede in Sahiwal. This is a criminal exercise."
316,"Today the Nation is standing with Imran Khan for the supremacy of rule of law ! 

#StatesmanSpeech

#حقیقی_آزادی_جلسہ
#جلسہ_نہیں_ریفرینڈم_ہے"
317,4 ماہ کے بعد عمران خان کا پہلا جلسہ۔ انشاءاللہ کل 25 مئی تراویح کے بعد مینار پاکستان آپ سب سے ملاقات ہو گی #حقیقی_آزادی_جلسہ
318,امپورٹڈ حکومت کی فسطائیت عروج پر۔ پولیس کی جانب سے پاکستان تحریک انصاف کے لیڈران اور کارکنان کے گھروں میں چادر اور چار دیواری کا تقدس پامال کرتے ہوئے چھاپے اور غیر قانونی گرفتاریاں کی جا رہی ہیں۔
319,اس سے پہلے بھی 1997 میں ججوں نے چیف جسٹس کو کام سے روک دیا تھا جسٹس تارڑ کی اولاد اب بھی موجود ہے، روک دیں پہلے کون سا ملک میں آئین رہ گیا ہے ۔۔سپریم کورٹ کو کمزور کرنے کا احسن فریضہ نواز تارڑ الائنس کون سا پہلی بار ادا کرے گا twitter.com/hasnaatmalik/s…
320,اتنی مقبولیت کسی کی نہیں تھی جتنی عمران خان کی ہے۔ آپ جتنا عمران خان کو روکیں گے وہ اتنا عوام کی ضد بن جائے گا۔ہارون رشید
321,"Said in April 2022. Immediate free & fair elections to save Pakistan from possible disaster. Did not listen. disaster struck. 
Saying it after almost a year. Immediate Free & fair elections & save Pakistan.
However, those who matter won’t listen. Pakistan was/is never a priority."
322,"لاہور۔۔۔۔۔ تیار ہو؟؟؟؟

کپتان کا ایسا استقبال ہونا چاہئیے کہ 2011 کا ہر ریکارڈ ٹوٹ جائے۔۔۔ انشااللہ"
323,"Pakistan bringing down 
@ImranKhanPTI
 is like Paris bringing down Eiffel Tower, Dubai bringing down Burj, NY brining down Empire State Building & Los Angeles brining down Hollywood. Imran Khan is Pakistan’s identity and the biggest brand. Think "
324,"فسطائیت کی انتہا ہے۔ کؤیٹہ شہر میں درج ایک ایسی ایف آئی آر میں جس سے 
@HniaziISF
 کا دور دور سےکوئی تعلق نہیں ہے!! #ReleaseHassaanNiazi #ReleaseAzharMashwani"
325,"Like PTI Chairman Imran Khan said in the last Jalsa, CJP and judiciary is the only hope left for this country. If today CJP doesn't succumb to the extreme hate and pressure coming from PDM, Bandial sb will be remembered as the CJ who saved the Constitution.

#NationSupportsCJP"
326,"1- 
@KP_Police1
 raids our homes for the 3rd time in 3 days, without showing any legal warrant or even an FIR 
@AliAminKhanPTI
 is having bails in all cases & there's nothing pending from almost 50 fake cases registered against him. He is being targeted for standing tall with our..."
327,"الیکشن سے متعلق سپریم کورٹ میں ججز کی مختلف رائے، خصوصاً آج کے اختلافی نوٹ پر ماہر قانون سلمان اکرم راجہ کا تجزیہ۔

الیکشن ۹۰ روز میں ہونا بنیادی آئینی تقاضہ ہے۔ 

نگراں سیٹ آپ ۹۰ دن سے اوپر تجاوز نہیں کر سکتی لیکن انکی نیت شروع سے ہی غلط تھی۔
@salmanAraja"
328,آئین کی خلاف ورزی کرکے آرٹیکل 254کا سہارا نہیں لے سکتے- نگراں حکومت آئینی مدت کے بعد بھی قائم رہتی ہے تو آئین خلاف ہے۔سلمان اکرم #NationSupportsCJP
329,"میں بھی اظہر مشوانی ہوں!
#حقیقی_آزادی_جلسہ 
@MahnoorAzhar_
 @MashwaniAzhar
 
#ReleaseAzharMashwani"
330,#حقیقی_آزادی_جلسہ !! کل رات نماز تراویح کے بعد انشاللّہ
331,"جرم بس اتنا ہے اس کا کہ وہ سچ بولتا ہے
اور۔۔ سرکار کی نظر میں یہ سنگین جرم ہے
#اظہر_مشوانی_کو_رہا_کرو 
یہ وقت گزر جائے گا مگر ہم اسے بھولیں گے نہیں سب یاد رکھا جائے گا پوری قوم اظہر اور اس کی فیملی کے ساتھ کھڑی ہے۔"
332,"Festive mahoul as families watched Imran Khan's #StatesmanSpeech on laptops, after channels blacked out the speech. 

Via 
@fiaztariq"
333,"26گھنٹےگزرنےکےبعدکہاجارہاہے کہ 28مارچ کو اظہر مشوانی کو پیش کیا جائے۔
نہ کوئی سوال کہ وہ کہاں ہے؟
اغوا کا مقدمہ کیوں نہیں ہوا؟
بنا وارنٹ کے اٹھایا کس نے؟
اٹھایا ہے تو قبول کیوں نہیں کیا؟
28 مارچ تک ہم کدھر جائیں؟
کس سے جاکے سوال کریں کہ ہمارا بھائی کدھر ہے؟
#ReleaseAzharMashwani"
334,"اظہر مشوانی سوشل میڈیا کا نوجوان ہے، اسے اٹھا لیا گیا، ابھی تک کسی کو نہیں پتہ وہ کدھر ہے، اسکے ماں باپ کے مجھے میسج آ رہے ہیں، اسے غائب کر دیا گیا یے، اس کا کیا قصور ہے ؟ عمران خان

#ReleaseAzharMashwani"
335,فاشسٹ پی ڈی ایم حکومت کی ایماء پر پی ٹی آئی رہنماؤں،  ورکرز حتی کہ بچوں پر بھی جو ظلم کیا جارہا ہے اس کی تاریخ میں مثال نہیں ملتی۔ بچوں تک سے انتقام لینا پی ڈی ایم حکومت کی بدترین بوکھلاہٹ کا نتیجہ ہے۔ یہ انتہائی  قابل مذمت جابرانہ ہتھکنڈے ختم ہونے چاہئے۔
336,"شکر یہ لاہور 

#حقیقی_آزادی_جلسہ
 #جلسہ_نہیں_ریفرینڈم_ہے"
337,"The Toshakhana Games

In 70 years: 0 cases
In 11 months: 100 cases

Here’s the story behind all of them:

#حقیقی_آزادی_جلسہ"
338,"The nation is looking towards the honorable Chief Justice of Pakistan and the Supreme Court to uphold the Constitution and protect the right of Pakistanis to have elected representation.

People will stand behind the Supreme Court! 

#NationSupportsCJP"
339,"This is minority judgement. It exposed ties of PMLN with them too. They are badly exposed.
#NationSupportsCJP"
340,میرے بھائی کو اٹھا کر لے گۓ ۔۔میرے گھر میں داخل ہوۓ ۔۔ اس کے کمرے تک آۓ ۔۔ اس کے بچے دوسرے کمرے میں سو رہے تھے ۔۔ ایک عورت تھی ایک کالی وردی اور بلٹ پروف جیکٹ میں اہلکار تھا ، منہ ڈھکے ہوۓ تھے ایک سادہ کپڑوں میں اہلکار تھا ۔۔ پولیس کی گاڑیوں میں آۓ۔۔ ہم پاکستان سے محبت کی قیمت… Show more
