,Tweets
152,آئین اور 90 روز میں انتخابات کے انعقاد کی حمایت اور محاصرے کیساتھ زمان پارک میں (ریاستی) قوت کےبےجا استعمال کی مذمت میں ایک متفقہ قرارداد منظور کرنے پر میں LHCBA کا شکرگزار ہوں۔ ہم سے یکجہتی کے اظہار کیلئے زمان پارک تک پیدل مارچ کرنے والے وکلاء کا بھی میں نہایت مشکور ہوں۔
153,قوم سےاپنےروابط+حقیقی آزادی کی میری پکارپرانکے جواب کےبعدمیں کامل یقین سےیہ کہہ سکتاہوں کہ عوامِ پاکستان پہلےہی بہت کچھ سہہ چکےہیں چنانچہ اب ان مافیاز کولوٹ مار کاسلسلہ برقراررکھنےکی قطعاًاجازت نہیں دینگے۔سری لنکاکیطرح ہم اس صورتحال سےزیادہ دورنہیں جب ہمارےلوگ سڑکوں پرامڈ آئینگے۔
154,اپنےلوگوں کی بھاری اکثریت کو محض سیفٹی نیٹ ہی مہیا کرنا نہیں بلکہ صحت کارڈ کے ذریعےملک بھرخصوصاً دیہی علاقوں، جہاں لوگوں کی قوتِ خرید کے فقدان کےباعث نجی شعبہ اب تک اسپتال قائم کرنے پر آمادہ نہ تھا، میں صحت کی سہولیات (اسپتال وغیرہ) کا جال بچھانا بھی ہمارا کلیدی ہدف تھا۔
155,"In contrast, they are using all manner of harassment, arrests, custodial torture & abductions purely for political victimisation.They know they cant win any elections, so are trying to beat us down through use of brutal State power. It wont work. Our resolve only gets stronger."
156,Imported govt of cabal of crooks brought thru foreign backed regime change is using fear & terror in media & ppl to gain acceptance after being routed in Punjab elections.But all they are succeeding in doing is further destabilising country. Only solution is fair & free elections
157,"I dont recognise this Imported Govt installed thru conspiracy & horse trading. How can SS be so shameless given his govt's destruction in 10 mths of our economy & democracy with brazen fascism,end of fundamental rights & rule of law; & allowing terrorism to spread under its watch"
158,"تمام پاکستانیوں خصوصاً اپنے نوجوانوں کو میری دعوت ہے کہ 13 اگست کی رات لاہور میں ہمارےحقیقی آزادی جلسے  اورپاکستان کے75 برس مکمل ہونےکےجشن میں ہمارے ساتھ شامل ہوں۔  
 #حقیقی_آزادی_جلسہ"
159,اپنی ہندو برادری کو ہولی کی مبارکباد پیش کرتا ہوں۔
160,"Dedicating this too to shaheed Ali Bilal, our Zille Shah, as we pay tribute to him today and protest against his brutal custodial murder by this cabal of crooks & the psycopath who oversees custodial torture & assassination."
161,واضح طور پر”گرفتاری“ کا دعویٰ محض ایک ڈرامہ تھاجبکہ اصل نیت اغواء اور قتل کی ہے۔آنسو گیس اور آبی توپوں کےبعد اب یہ سیدھی فائرنگ پر اتر آئےہیں۔کل شام میں نےضمانتی بانڈ بھی مہیا کیا مگر DIGنے وصول تک کرنے سےانکار کردیا۔انکی بدنیتی اور ناپاک عزائم میں کسی قسم کا ابہام باقی نہیں۔
162,پاکستان کےمستقبل کیلئےتحریک انصاف کے دروازے تمام جمہوریت پسند قوتوں کیلئے کھلے ہیں کہ عدل وانصاف، قانون کی حکمرانی اور بیرونی غلامی سے آزادی،جو ہماری حقیقی آزادی کاہدف ہے،کیلئےہماری جدوجہد میں شامل ہوں۔
163,"across the world, when has Pakistan shown aggression esp post-nuclearisation? Equally imp,this
Biden statement shows total failure of Imported govt's foreign policy & its claims of ""reset of relations with US""? Is this the ""reset""?This govt has broken all records for incompetence"
164,"Tomorrow evening we will offer thanks to Allah & celebrate with all the people of Pakistan who have stood by us in our campaign for Haqeeqi Azadi, coming out in massive numbers to show support. #ShukrAllahShukriyaAwam"
165,بلوچستان میں خوست کے قریب ہرنائی کے مقام پر فوجی ہیلی کاپٹر کو پیش آنے والا حادثہ، جس کے نتیجے میں 6 جوان شہید ہوئے، المناک ہے۔ میری تمام تر دعائیں اور ہمدردیاں ان بہادر سپاہیوں کے لواحقین کے ساتھ ہیں۔
166,مجھ پر قائم76مقدمات،جن کی تعداد تیزی سےبڑھ رہی ہے میں دہشتگردی،توہینِ مذہب+بغاوت کےمقدمات شامل ہیں۔ بغاوت کےمقدمےمیں کسی افسر کا نام ہےنہ ہی کسی ادارے کی شناخت ظاہرکی گئی ہے۔جب ذہانت،اخلاقیات+اقدار سے محروم ٹولہ کسی قوم پر مجرم مسلط کرتاہےتو اسی قسم کے ہتھکنڈےدیکھنےکو ملتےہیں
167,"All our workers that have been jailed by this govt of criminals, today we will not only approach the courts but also int human right organisations. We will ask all PTI chapters abroad to approach their local elected reps & politicians to inform them of the fascism going on in Pak"
168,شہباز گل کو دوبارہ پولیس ریمانڈ پر بھجوائے جانے پر گہری تشویش ہے۔ اغواء کے بعد نامعلوم مقام پر منتقلی اور پھر تھانے لائے جانے کے دوران کئے گئے تشدد کے نتیجے میں اس کی ذہنی حالت اور جسمانی صحت نہایت مخدوش ہیں۔یہ بھی سازش کا حصہ ہے مجھے اور تحریک انصاف کو نشانہ بنانےکیلئے ہمارے
169,زیرِحراست تشدد اور اغواءوغیرہ کوخالصتاًسیاسی انتقام کیلئےاستعمال کررہےہیں۔انہیں یقین ہےکہ کسی بھی سطح کےانتخابات نہیں جیت سکتےچنانچہ ریاستی قوت کےظالمانہ استعمال سےہمیں کچلناچاہتےہیں۔یہ اپنے عزائم میں کامیاب نہ ہو پائیں گےکیونکہ انکےان حربوں سے ہمارا عزم مزید پختہ ہی ہوتا ہے۔
170,I can say with certainty after my interaction with our nation & their response to my call for Haqeeqi Azadi that ppl of Pak  have had enough & will not allow these mafias to continue their loot & plunder. We are not far from Sri Lanka moment when our public pours out into streets
171,As results coming in PTI is winning in atleast 15 seats. But it is very important for all our people on duty in all polling stations not to leave their posts till official results have been obtained from the Returning Officers.
172,Rains have once again exposed 14 years corrupt rule of Zardari & family in Sindh. This is a classic example of how Corruption ruins Governance. Money given to Karachi ended up in Fake Accounts and invested in Dubai properties. This nexus of evil must be brought to an end.
173,"مگر یہ سب کچھ عوام کو حکومت کے خلاف ابھارتے ہوئے معاملات کو خطرناک انداز میں طوائف الملوکی کیجانب دھکیل رہا ہے۔ 
#PakistanUnderFascism"
174,This is the Revolution I was talking about. 3rd day of our Haqeeqi Azadi March and people keep joining our March in huge numbers as we move forward.
175,5اگست2019کو مودی سرکارنےIIOJ&K کی خصوصی حیثیت ختم کرکےUNSC کی قراردادوں اورعالمی قانون کی خلاف ورزی کی۔ پھرمودی سرکار نےایک قدم آگےبڑھاتےہوئےکشمیرمیں آبادی کے تناسب میں تبدیلی کےذریعے چوتھےجینیوا کنونشن کے تحت جنگی جرم کاارتکاب کیا۔انکاخیال تھاکہ ان ہتھکنڈوں سےکشمیریوں کےمزاحمت
176,میں نے اس درخواست پر دستخط کردیے ہیں اور میں چاہتا ہوں کہ وہ تمام لوگ بھی اس پر دستخط کریں جنہیں اُس سب پر دکھ ہےجس سےاعظم سواتی مسلسل گزر رہے ہیں اور جو انسانی حقوق و قانون کی حکمرانی کے حوالے سے فکرمند ہیں۔
177,قرآنِ کریم کی اس آیتِ مبارکہ میں میری ٹیم اور اہلِ پاکستان کیلئے پیغام و ہدایت ہے کیونکہ انہیں اس ظلم و بربریت کا سامنا ہے جس سے آج پوری قوم گزر رہی ہے۔
178,میں یہ بھی اپنےظلِّ شاہ(علی بلال شہید )سےمنسوب کرتاہوں کہ آج ہم اسےخراجِ تحسین پیش کررہےاور مجرموں کےگروہ کےہاتھوں دورانِ حراست اسکےبہیمانہ قتل اور اس نفسیاتی مریض،جو حراست کے دوران تشدد اور قتل وغارت سےاپنی آنکھیں ٹھنڈی کرتاہے،کیخلاف احتجاج کررہےہیں
179,جبکہ نوازشریف، مریم، مولانا فضل الرحمٰن اور آصف زرداری جیسےوہ تمام کردار جو ریاستی اداروں کیخلاف بغض و عناد سے بھرپور بیانات کے ذریعے انہیں ہرممکن حد تک بدترین انداز میں بار بار نشانہ بناتے رہے ہیں، بلاخوفِ ملامت آزاد گھوم رہے ہیں۔
180,کیسےنکالیں گےجس میں مجرموں کےاس گروہ نےملک کو دھکیلاہے۔یہ(مجرم)لوگوں کوجلسےمیں شرکت سے روکنےکیلئےہرطرح کی رکاوٹ ڈالیں گےمگر میں سب کو یاد دلانا چاہتاہوں کہ ایک سیاسی اجتماع میں شرکت آپکا بنیادی حق ہےچنانچہ اپناحق استعمال کیجئےاور مینارِ پاکستان کےاس تاریخی اجتماع میں شریک ہوں
181,روپے کےحوالے سے) NRO لیکر قوم کو بڑھتی ہوئی مہنگائی تلے کچلنے کیخلاف احتجاج کر رہے ہیں۔سیاسی قیدیوں کے حوالے سے prison rules پر عملدرآمد سے انکار ایک مایوس کن اور آمرانہ ذہنیت کا عکاس ہے جس سے ہمارے لوگ حقیقی آزادی کیلئے مزید عزم و ہمت سے کھڑے ہونے کا حوصلہ پاتے ہیں۔
182,معیشت کا جنازہ نکالنے کے علاوہ یہ امپورٹڈ سرکار چمن سے سوات، لکّی مروت اور بنوں تک پیش آنے والےواقعات کی شکل میں پاکستان میں دہشتگردی کی شرح میں50%اضافے سےنمٹنےمیں ناکام رہی ہے۔ یہ ”دوستانہ“ افغان حکومت کی فوجوں کیجانب سےبین الاقوامی پاک-افغان سرحد پر کئےجانےوالےحملوں کےتدارک
183,خیبرپختونخوا میں پاکستان تحریک انصاف کی حکومت کیجانب سے ایک عظیم قدم!
184,"The scenes I was confronted with as I entered the gates of Judicial Complex. Let there be no doubt that this force along with the 'Unknowns' - namaloom afraad - were there not to
put me in jail but to eliminate me by staging a mock fight & pretending my death was an accident."
185,Unless we all unite and stand up against this fascism it will be the end of democracy and freedom in Pakistan.
186,آج سرگودھاکےمناظر: ہماری جیل بھرو تحریک جاری ہے۔حقیقی آزادی کیلئےآج ایک مرتبہ پھر نہایت جذبے اور عزم و ہمت سےنکلنےپر میں اپنےقائدین،کارکنان اور عوام کا شکرگزار ہوں۔تحریک انصاف کےکارکنان و ذمہ داران نےجس انداز میں خوف کی زنجیریں توڑپھینکی ہیں اس پر مجھےخوشگوار حیرت ہوئی ہے۔
187,We stand with the brave Palestinian ppl & ask world powers to break their silence & act against Israeli atrocities committed on the Palestinian ppl. Peace can only come through a viable two-state solution.  #GazaUnderAttack
188,His justifiable anger & frustration at the injustice meted out to him especially the doors of SC remaining closed to him despite over a fortnight of appeals by Senators in support of him. So he tweets & is arrested again. Everyone must raise their voice against this state fascism
189,امپورٹڈ سرکار مکمل طور پر بےسمت بھٹک رہی ہے۔ مجرموں کے اس گروہ کا واحد کارنامہ یہ ہے کہ انہوں نے پاکستان کے چوری کئے گئے اربوں روپے پر ایک اور NRO حاصل کرلیا ہے۔ ایک سوال جو پوری قوم کی زبان پر ہے وہ یہ کہ؛ پاکستان کیخلاف اس مکروہ سازش کا ذمہ دار کون ہے؟
190,"Today we start our Jail Bharo campaign for Haqeeqi Azadi for 2 main reasons. One, it is a peaceful, non violent protest against the attack on our constitutionally-guaranteed fundamental rights.We are facing sham FIRs & NAB cases, custodial torture, attacks on journalists & social"
191,سب سے پہلےمیں مسلم لیگ نواز کےامیدواروں ہی کو نہیں بلکہ پوری ریاستی مشینری خصوصاً پولیس کے جبر و ستم اور مکمل طور پر ایک متعصب الیکشن کمیشن کو شکست دینے پر پاکستان تحریک انصاف کے اپنے کارکنان اور پنجاب کے ووٹرز کا شکریہ ادا کرنا چاہتا ہوں۔
192,اور دہشت گردی کو اپنی ناک تلے پھیلنے کی اجازت دیے جانے پر نگاہ ڈالتا ہوں تو سوچتا ہوں کہ شہباز شریف اتنا بے شرم کیسے ہو سکتا ہے!
193,کل سہ پہر سے میرا گھر شدید حملے کی زد میں ہے۔ رینجرز کی تازہ ترین یلغار ملک کی سب سے بڑی سیاسی جماعت کو فوج کے مدِّمقابل کھڑا کررہی ہے۔ پی ڈی ایم اور پاکستان کے دشمن یہی تو چاہتے ہیں۔ مشرقی پاکستان کے المیے سے کوئی سبق نہیں سیکھا گیا۔
194,"Year 2022: ""it was the best of times, it was the worst of times"". A govt with one of the best econ performances was removed through a conspiracy triggered by supreme self-interest; & Pak was handed over to a bunch of criminals. They ran economy to the ground, gave themselves NRO2"
195,Lal Soharna National Park in 2021 & now in 2022. Under our internationally acclaimed  #TenBillionTreeTsunami the green transformation is taking place to counter climate change.
196,بہاولپور میں گزشتہ شب میرےحقیقی آزادی جلسےمیں عوام کی حیرت انگیز تعداد میں شرکت! مرطوب+گرم موسم کے باوجود خواتین کی شرکت بےمثال تھی۔دلچسپ ترین پہلو یہ ہےکہ اس تاریخی اجتماع کےشرکاء حالاتِ حاضرہ سےمکمل طور پر آگاہ اور معاملات و موضوعات کا پورا اِدراک رکھتے تھے۔ شکریہ بہاولپور!
197,میں نے ابھی اپنی ٹیم سے ملاقات کی ہے چنانچہ اب میں حکمتِ عملی وضع کررہا ہوں کہ سندھ میں سیلاب کی تباہ کاریوں کی زد میں آنے والے لوگوں کی مشکلات کیسے کم کر سکتے ہیں۔ہم ٹیلی تھون کےذریعےجمع ہونے والے عطیات میں سے 1 ارب روپیہ دیکر اس کام کا آغاز کریں گے۔میری اپیل پر لبیک کہنےاور
198,مجھےیہ اعلان کرتےہوئےنہایت خوشی ہےکہ شوکت خانم جوائنٹ کمیشن انٹرنیشنل سے فل انٹرپرائز ایکریڈیشن حاصل کرنےوالا دنیا کا دوسرا ادارہ بن چکا ہے۔اگست/ستمبر 2022میں تین ہفتوں تک جاری رہنےوالی کڑی پڑتال کےبعد لاہور اور پشاور کے ہمارےاسپتالوں اور کراچی اور لاہور کے تمام ڈائیگناسٹک
199,ایمن آباد میں کل کےعوامی استقبال اور شرکاء میں پائے جانےوالے جوش و خروش کےمناظر! GT روڈ پر عوام کےاسی جوش و جذبےکے باعث ہم 12 کلومیٹر فی گھنٹہ کی رفتار ہی سے چل پا رہے ہیں۔ چنانچہ جو لوگ ہمارے منتظر ہیں اسی کےمطابق منصوبہ بندی کریں۔آج ہم انشاءاللہ گوجرانوالہ شہر سےگزریں گے۔
200,Any breach of the Constitutional provision will result in application of the treason clause under Article 6.
201,Leadership and PTI workers walking to court arrest in Peshawar and breaking the chains of fear.
202,اسرائیلی فوجوں نےتمام بین الاقوامی قوانین پیروں تلےروندتےہوئے غزہ میں محصورفلسطینیوں، جن میں بچےبھی شامل ہیں پر پھرسےفضائی حملے(بمباری) کئے ہیں۔اسرائیل اہلِ فلسطین کومحکوم بنانے کیلئے اسرائیلی قبضے کے خاتمے اور اپنے حقوق کیلئے کھڑے ہونے والوں کیخلاف اپنی بھاری بھر کم عسکری قوت
203,Mianwali getting ready for the million people march to Islamabad. InshaAllah it  will be the greatest protest in our history against an  Imported govt of crooks who have bankrupted the economy & crushed the people under unprecedented inflation.
204,I wiĺl also disclose the name of the second officer who was sitting with Maj General Faisal in the control room from around 12 noon to 5 pm monitoring the execution of the plot.
205,میرےخلاف اب یہ 76واں مقدمہ ہے۔ ڈرٹی ہیری کیجانب سے تشدد پر انحصار اور انسانی حقوق کی دیگر خلاف ورزیوں کا معاملہ اجاگر کرنے کی پاداش میں اپنے خلاف غداری کےتازہ ترین مقدمےکیساتھ میں مقدمات کی سنچری کی جانب بڑھ رہا ہوں۔
206,"Congratulations to KP govt for fulfilling another PTI commitment. 244,000 students of govt colleges in KP will have 100% fees waived off with Insaf Taleem Card. Education is key to a better future esp in digital age & in KP barriers to educational opportunities are being removed"
207,رب العزت کو کچھ اور ہی منظور تھا جو عظیم ترین محافظ و نگہبان ہے۔
208,"We need your continuing support in order to complete the project on time, so that we can provide high quality cancer care to the people of Karachi, interior Sind & Balochistan. I know I can rely on the ppl of Pak as always to see this through to completion."
209,but also any such extra-Constitutional & extra-legal actions being devised against us.
210,"Belated felicitations to my dear friend 
@anwaribrahim
 on becoming PM of Malaysia. My old school motto Perseverance Commands Success seems most appropriate for all your struggles. I wish you the very best of success in all your endeavours as Prime Minister."
211,All the pictures & videos show clearly Gill was tortured both mentally & physically incl sexual abuse - most too gruesome to relate. He was humiliated to break him down. I now have full detailed info. ICT police says it did not inflict any torture. So my question is:
212,مجرموں کی اس سرکار کے ہاتھوں قید کئے جانے والے اپنے کارکنان کا معاملہ آج عدالتوں ہی میں نہیں بلکہ انسانی حقوق کی عالمی تنظیموں کے سامنے بھی اٹھائیں گے۔ دنیا بھرمیں تحریک انصاف کے ذمہ داران اپنے منتخب مقامی نمائندوں اور سیاستدانوں کو پاکستان میں جاری اس فسطائیت سےآگاہ کریں۔
213,میری عدالت میں پیشی کےموقع پر آنےوالےتمام لوگوں کا شکرگزار ہوں۔سب جانتےہیں کہ مجرموں کا گروہ ہر حال میں انتخابات تک مجھے پابندِ سلاسل کرناچاہتاہے۔پہلےہی مجھ پر 96مقدمات قائم کئے جاچکے ہیں اور مجھے یقین ہےکہ آج کی اپنی پیشی کےبعد میں خود پر مقدمات کی پہلی سنچری مکمل کر لوں گا۔
214,بہت سےممالک نےآنکھ قید میں کھولی مگر پنجرہ توڑا اور مانندِ شہباز پرواز کی۔بعض نےآسمانوں کی وسعت سےہیبت زدہ ہوکراپنےآقاؤں کےٹکڑوں پر پلنےوالےپالتوجانوروں کیطرح غلامی کوترجیح دی۔ہماری حقیقی آزادی کی تحریک کا ہدف اپنی قوم کوحقیقتاً آزاد+خودمختار بناناہےکہ اپنی راہ خودمتعین کرسکے
215,ہماری جیل بھرو تحریک میں ہمارا ساتھ دینے اور خاص طور پر کل راولپنڈی میں خود کو گرفتاری کیلئے پیش کرنے پر ہم مجلسِ وحدت المسلمین اور علامہ راجہ ناصر عباس کے نہایت مشکور ہیں۔
216,مجرموں پر مشتمل امپورٹڈ حکومت+انکےسرپرستوں نےگزشتہ شب سیلاب متاثرین کیلئےعطیات جمع کرنےکےحوالےسےمنعقدہ میری ٹیلی تھون کی نشریات رکواکر نئی سطح تک گراوٹ کامظاہرہ کیاہے۔ پہلےانہوں نےچینلز پر ٹیلی تھون نہ دکھانےکےحوالے سےدباؤ ڈالا۔اسکےباوجود جب چند چینلز نےنشریات جاری رکھیں تو
217,"to those who claim they are ""neutral"": Is this your idea of neutrality, Rangers directly confronting unarmed protestors & ldrship of largest pol party when their ldr is facing an illegal warrant & case already in court & when govt of crooks trying to abduct & possibly murder him?"
218,شوکت خانم میموریل کینسرہسپتال اینڈ ریسرچ سنٹر کراچی کی عمارت کا ڈھانچہ مکمل ہوچکاہے۔لاہور کے اسپتال سےدوگنی جسامت کا حامل یہ کینسر اسپتال پاکستان میں ثالثی درجے (Tertiary Care) کی صحت کی سہولیات فراہم کرنےوالا سب سےبڑا مرکز ہوگا۔تزئین و آرائش کےسلسلےکا آغاز ہوچکاہےاور دسمبر 2023
219,"Demand immediate release of PTI MPA & Secretary General Karachi Arsalan Taj Ghuman, who was abducted in early hours of this morning. All he did was mention Dirty Harry in his speech yesterday. Complete dismantling of our democracy & unravelling of Rule of Law. Fascism."
220,فوادچودھری سےروا رکھےجانے والےسلوک یعنی اسکےاغواء،اس سےدہشتگردوں جیسےسلوک اور ایک بھونڈےسےمقدمےمیں اسکےجسمانی ریمانڈ وغیرہ سے ظاہرہوتاہےکہ پاکستان آج کن غلط راہوں پر چل نکلا ہے۔انصاف کا تو نام نشان نہیں البتہ قانونِ جنگل ضرور رائج ہے۔اگر ریاست اور مجرموں کا گروہ سمجھتےہیں کہ
221,"When Man, God's greatest creation, falls, he descends below animals even. The ones who tortured Ali Bilal, our Zille Shah, to death are worse than animals. They have been indulging in custodial torture on Azam Swati, Shahbaz Gill & many pol workers, overseen by a total psycopath."
222,بارکھان* کے نجی جیل
223,زمینی صورتحال سے آگاہی اور سیلاب متاثرین سے ملاقات کیلئے خیبرپختونخوا حکومت کی جانب سے ڈیرہ اسماعیل خان میں قائم کردہ امدادی کیمپوں میں سے ایک کے دورے کے مناظر!
224,یہ وہ قیامت ہےجو خون کے پیاسےمجرموں کےکرپٹ گروہ نےقوم پر ڈھائی ہے۔انہوں نےہمارا آئین،ہمارےبنیادی حقوق اور قانون کی حکمرانی کو پامال کیاہے۔خواتین سمیت تحریک کےمعصوم اور نہتےکارکنوں کوپولیس کی بدترین وحشت وتشدد کانشانہ بنایاگیاجبکہ زیرِحراست ایک کارکن کو موت کی نیند سلا دیا گیاہے
225,شوکت خانم میموریل ٹرسٹ کراچی: تمام تر چیلنجز کے باوجود تعمیراتی کام شیڈیول کے مطابق جاری ہے۔ آئندہ برس کے اواخر میں اسے کھولیں گے، انشاءاللہ۔ کراچی کا یہ ہسپتال تمام ہسپتالوں میں سب سے بڑا اور جدید ترین مشینری سے لیس ہوگا۔
226,"Today Makhdoom Fazal, Makhdoom Mohsin & Makhdoom Amaar met me & narrated their arrests & harassment at the hands of Zardari mafia in Sindh. There is only law of the jungle in Sindh where Zardari law rules. Those who cannot be bought are coerced & intimidated by police & thugs"
227,Today Punjab govt has brazenly violated SC orders & election rules by openly using all govt/State machinery to rig Punjab elections through illegal ballot stamping & harrassing voters while arresting PTI ldrs. Through it all ECP turned a blind eye. Courts must open now & act.
228,Everyone should remember this Hadith wherein our beloved Prophet Muhammad PBUH warned how  injustice destroys nations.
229,I want to thank the SCBAP for their strong position on upholding of Constitution & rule of law. We appreciate your condemnation of excessive use of force by authorities at Zaman Park. My Party was founded on principle of rule of law & we continue to stand by this commitment.
230,"تبدیلئ سرکار کی سازش کے بعد تیز ترین گراوٹ کے باوجود ایسا ممکن ہوا۔ جولائی 2021 سے مارچ 2022 تک تحریک انصاف کے دور میں برآمدات میں 27% اضافہ ہوا۔ بدمعاشوں کے ٹولے کے زیرِ سایہ جون میں برآمدات کی نمو سست روی کا شکار ہوتے ہوئے 5.8% رہ گئی۔ 
#امپورٹڈ_حکومت_نامنظور"
231,گجرات سے ہمارے کارکن عثمان جوڑا نے اس خاتون کو خون کے پیاسے ظالم رینجرز اور پنجاب پولیس کی سیدھی گولیوں سے بچایا۔خود پر ہونے والے جبر و تشدد کے دوران ہم نے عثمان جیسے کارکنان کے عزم اور جوش و جنون کا مشاہدہ کیا۔
232,By postponing Punjab elections till Oct ECP has violated the Constitution. Today everyone must stand behind the legal community - the judiciary & lawyers - with expectation that they will protect Constitution. For if this is accepted today then it is the end of Rule of Law in Pak
233,Some scenes from the massive & charged crowds that turned out throughout Gujranwala yesterday seeking justice which is a critical part of our Haqeeqi Azadi struggle.
234,سینیٹر اعظم سواتی سے روا رکھے جانے والے انتقام سے بھرپور جبر و تشدد پر قوم حیرت و صدمے کی شکار ہے کہ یہ سب کس جُرم کی پاداش میں کیا جارہا ہے؟ کیا یہ سب سخت زبان استعمال کرنے اور سوال اٹھانے پر کیا جارہا ہےجس کا ایک جمہوری معاشرے میں میں سب کو حق حاصل ہے؟ پاکستان، خاص طور پر
235,"Ali Bilal unarmed & our dedicated & passionate PTI worker murdered by Punjab police. Shameful, this brutality on unarmed PTI workers who were coming to attend election rally. Pakistan is in the grip of murderous criminals. We will file cases against IG, CCPO & others for murder."
236,انکےسرپرستوں کےاقتدارکی شکل میں پاکستان آج یزیدیت(فسطائیت)کےنرغےمیں ہے۔کیا ہمارے  لوگ بھی خوف میں مبتلا ہوکر اس سازش کےسامنے سرجھکائیں گےیابحثیت ایک قوم اس کڑےامتحان کا  سامنا کریں گے؟ 13اگست کو میں اپنےحقیقی آزادی جلسےمیں اس فسطائیت سے نمٹنے کےمنصوبےکااعلان کروں گا۔
237,"Lahore rejects this corrupt caretaker CM, a virulent PTI hater & one of the players with ex-COAS, the main architect of regime change conspiracy. His appointment negates the very concept of neutral caretakers. Today there is a complete mockery of justice, ethics & morality in Pak"
238,"Strongly condemn the fascist approach of Imported govt to treat our political prisoners detained during our Jail Bharo (court arrest) movement as criminals & terrorists. Our ldrship & workers are protesting against this fascism, violation of fundamental rights, & crushing nation"
239,ارشدشریف کےقتل نےملک بھرمیں شدید صدمے کی لہر کوجنم دیاہے۔اس قتل نے اربابِ اختیار سے سوال پوچھنے یا انہیں ہدفِ تنقید بنانے کی جسارت کرنے والے ہر فرد کو نشانہ بنائے جانے کے رواں سلسلےکو پھر سےاجاگر کیاہے۔شہریوں کو آئین کے تحت میسر بنیادی حقوق کی فراہمی اور انہیں ریاستی و حکومتی
240,This is not only an attack on our democracy but also on moral fabric of our society. Had SC taken action & debarred these turncoats for life it would have acted as deterrent. Don't Handlers of US regime change conspiracy's Imported govt realise severe damage being done to nation?
241,27 Feb 2019 our govt ordered response to Indian air strike on Balakot with PAF air strikes on Indian mly targets in IIOJK & the PAF downed an IAF plane over Pak air space capturing the pilot. We were successful in choosing a limited mly response signalling a clear msg to India.
242,دارالعلوم کراچی کے رئیس، مفتی تقی عثمانی کے بڑے بھائی اور نامور عالمِ دین مفتی رفیع عثمانی کی رحلت کے بارے میں جان کر افسردہ ہوں۔ گراں قدر علمی خدمات کے باعث انہیں ہمیشہ یاد رکھا جائے گا۔ میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔
243,Flooding of Karachi bec of rains again a reflection of PPP's 14 yrs of corruption & mismanagement in governing Sindh. My govt had given Rs35bn to clean & reconstruct major nullahs but prov govt failed to perform it's task of improving solid waste disposal & cleaning minor nullahs
244,"میں پنجاب پولیس کیجانب سےآج شب 
@ImranRiazKhan
 کی بلاجوازگرفتاری کی شدید مذمت کرتاہوں۔ہماری قوم کو چَھٹے ہوئے بدمعاشوں پرمشتمل امپورٹڈحکومت کےسامنےجھکانےکیلئےملک فسطائیت کے سپردکیا جارہاہے۔یہی وقت ہےکہ ہرشخص خصوصاً اہلِ قلم وصحافت (میڈیا) یکجا ہوکر اس فسطائیت کیخلاف کھڑےہوں"
245,"Wishing Qatar the best for successfully holding the football World Cup, which begins today. It is for the first time that a Muslim country is hosting this biggest sporting event in the world. Good luck to all the participating teams."
246,میری دعائیں اور ہمدردیاں انکے سوگوار اہلِ خانہ کے ساتھ ہیں۔
247,Thank you Chakwal for the record turnout today at my Haqiqi Azadi jalsa. I have asked my nation to smash the idol of fear through which this imported govt of crooks ( 60 percent of the cabinet is on bail ) seeks to enslave us.  MashaAllah our nation is ready.
248,"I want to warn our nation of an unprecedented crackdown campaign by Imported govt & State machinery against media houses & journalists who are carrying PTI & my narrative to the public. Two journalists, Arshad Sharif & Sabir Shakir, have had to leave Pak fearing for their lives."
249,Sealing of Centaurus Mall by PDM mafia in response to PM AJK censuring SS for not mentioning sacrifices of Kashmiris shows there is law of the jungle in Pak since last 8 mths. Sends negative signals to Kashmiris too. Q for our Honourable Judges: Are they not upholders of the Law?
250,گزشتہ شب گجرات میں سیاسی طور پر آگاہ و بیدار عوامی ہجوم میں پایا جانےوالا زبردست جنون! اجتماع میں خواتین کی شرکت بھی نہایت غیرمعمولی اوربےمثال رہی۔ہم اپنی نگاہوں کے سامنے ایک نرم انقلاب برپا ہوتے دیکھ رہے ہیں۔نہایت دلچسپ لمحات ہمارےمنتظرہیں۔شکریہ گجرات!
251,"Our senior ldrshp met & we decided I
wld do international telethon to raise funds for flood affectees on Monday night. Imran Tigers will be activated to volunteer for relief work. A comm under Sania Nishtar wiĺl be set up to identify & coordinate funds allocation based on needs."
252,"Watch #Ehsaas2047, a powerful documentary on how we began developing a welfare state in Pakistan, which uplifted the poorest and most marginalised people and gave hope to millions. We intend to reinvigorate this programme on our first day back in office."
253,اس قرارداد کے ذریعے اقرار کیا گیا کہ اسلام اورشعائرِ اسلام کیخلاف نفرت انگیز اقدامات کو آزادئ اظہار کا تحفظ حاصل نہیں۔
254,Shortly I will expose how I almost walked into a death trap & the plot to kill me in the Judicial Complex; and how Almighty Allah saved me in the nick of time.
